iter	MAE
0	521.2396946
1	503.3594985
2	483.5056048
3	466.7069851
4	451.263374
5	434.3691287
6	419.0856661
7	403.8162152
8	389.4597939
9	376.1611438
10	365.0315642
11	353.330433
12	342.2095251
13	332.0848468
14	322.6316012
15	312.6605012
16	304.4392806
17	296.185486
18	288.5159252
19	281.6324711
20	274.2617483
21	267.8331297
22	261.8394227
23	256.1101024
24	250.2524827
25	244.2824976
26	239.2563833
27	234.1198363
28	229.3612345
29	224.9633484
30	220.2039051
31	216.1722095
32	212.3921647
33	207.9723614
34	203.8550994
35	200.1250305
36	196.799405
37	193.5828928
38	190.533623
39	187.8631725
40	185.3735182
41	182.4269494
42	179.6921335
43	177.062911
44	174.6840586
45	172.059358
46	170.2898588
47	167.8541885
48	165.3987916
49	162.7070901
50	160.2340267
51	158.4746577
52	156.5518563
53	154.2580453
54	152.3736168
55	150.7825496
56	148.9950032
57	147.2292149
58	146.0923709
59	144.294667
60	142.4418995
61	141.2022973
62	139.9969601
63	138.5625584
64	137.4815019
65	136.071656
66	134.6580937
67	133.3639717
68	132.2498991
69	130.9425016
70	130.3063007
71	129.4859338
72	128.6182292
73	127.3989216
74	126.5885118
75	125.8971952
76	124.9012508
77	123.9651215
78	122.7681892
79	121.631733
80	121.0712333
81	120.0523944
82	118.9964527
83	118.1390602
84	117.4043336
85	116.8653084
86	115.9440496
87	115.3053859
88	114.7311796
89	113.9855348
90	113.2921578
91	112.363922
92	111.5257081
93	110.7644377
94	110.1366977
95	109.5098245
96	108.7837689
97	108.1171553
98	107.5243379
99	107.1444238
100	106.5762033
101	106.0500322
102	105.5168093
103	104.8072232
104	104.1352848
105	103.3976975
106	102.8024025
107	102.3995287
108	101.9758763
109	101.6127075
110	101.1342478
111	100.5640758
112	100.0821935
113	99.60144429
114	99.18287473
115	98.7853874
116	98.48969109
117	97.53753048
118	97.00203883
119	96.37253502
120	95.95738507
121	95.40686652
122	95.00718823
123	94.38956738
124	93.84876184
125	93.27588276
126	92.87273805
127	92.41444838
128	92.03293545
129	91.49482487
130	91.17688534
131	90.91353973
132	90.61794828
133	90.304428
134	89.64084527
135	89.27838598
136	89.1241221
137	88.72556374
138	88.19390868
139	87.8809443
140	87.40769416
141	86.90793371
142	86.46843096
143	86.12935596
144	85.85287517
145	85.4082593
146	85.15648917
147	84.80548098
148	84.50159537
149	84.10280312
150	83.74978565
151	83.27484323
152	82.87417275
153	82.6528442
154	82.41116283
155	82.04975013
156	81.72159695
157	81.51244914
158	81.21989928
159	80.73426395
160	80.32785447
161	79.84730747
162	79.65284121
163	79.39088252
164	79.06056328
165	78.79188792
166	78.44472848
167	78.07522898
168	77.79574715
169	77.57989026
170	77.24084436
171	77.07987452
172	76.78384855
173	76.52582405
174	76.38208854
175	76.08287902
176	75.76259159
177	75.51817367
178	75.28749434
179	75.08841932
180	74.91727477
181	74.61714963
182	74.4430531
183	74.07829385
184	73.78597044
185	73.51631718
186	73.34445472
187	73.17966579
188	72.9587903
189	72.61175651
190	72.32925666
191	72.19631475
192	72.01589843
193	71.90508825
194	71.63858841
195	71.38245704
196	71.04458274
197	70.91833878
198	70.71645417
199	70.5228865
200	70.36380494
201	70.19707025
202	70.01921433
203	69.85764901
204	69.70941974
205	69.54396585
206	69.39174201
207	69.22600549
208	69.03369745
209	68.81513578
210	68.63166688
211	68.38861712
212	68.2662879
213	68.02742308
214	67.67257125
215	67.55288191
216	67.37071749
217	67.09791456
218	66.85392518
219	66.56924377
220	66.30833336
221	66.16359992
222	66.04880445
223	65.79528035
224	65.68996574
225	65.52153018
226	65.36900177
227	65.16164116
228	64.97539375
229	64.72873006
230	64.51163087
231	64.34558868
232	64.11840413
233	64.02052834
234	63.90126203
235	63.73683289
236	63.51241694
237	63.39126154
238	63.25144226
239	63.02561632
240	62.73326382
241	62.55970373
242	62.32920949
243	62.08639984
244	62.00782713
245	61.91282137
246	61.69912464
247	61.52588139
248	61.36206189
249	61.14656112
250	60.9410654
251	60.76997985
252	60.65534712
253	60.41815383
254	60.28637832
255	60.12839199
256	59.98943063
257	59.84206965
258	59.73761364
259	59.60475408
260	59.40358926
261	59.28814132
262	59.16496735
263	59.03854012
264	58.85581906
265	58.64665661
266	58.41695528
267	58.24289863
268	58.10115965
269	57.93846353
270	57.76364084
271	57.57550891
272	57.44460987
273	57.3010491
274	57.13540928
275	56.97886369
276	56.85671341
277	56.66554872
278	56.55488179
279	56.40083838
280	56.32303827
281	56.25337297
282	56.13897722
283	55.90619505
284	55.7849879
285	55.6473698
286	55.57825684
287	55.47403084
288	55.36658843
289	55.2664292
290	55.10899626
291	54.94296255
292	54.87734596
293	54.74837113
294	54.59157999
295	54.44380878
296	54.26912404
297	54.15369059
298	54.07336085
299	53.97465299
300	53.87629952
301	53.82450237
302	53.73301275
303	53.63666823
304	53.52959669
305	53.39881038
306	53.28801266
307	53.22449564
308	53.18446388
309	52.96612573
310	52.91519308
311	52.81003401
312	52.72787022
313	52.68017332
314	52.61534711
315	52.56533672
316	52.39872836
317	52.33847909
318	52.21528462
319	52.04570653
320	51.96230537
321	51.86076189
322	51.75979894
323	51.59632135
324	51.50574534
325	51.38456126
326	51.29183331
327	51.16450735
328	51.07885307
329	51.0173348
330	50.78762071
331	50.71823017
332	50.57935384
333	50.45754803
334	50.38297437
335	50.2501465
336	50.16953512
337	50.07122864
338	49.98322529
339	49.80519789
340	49.64836838
341	49.60166948
342	49.51690089
343	49.47246387
344	49.35826772
345	49.31097475
346	49.21445962
347	49.08129691
348	48.90491366
349	48.81473765
350	48.74375407
351	48.63739752
352	48.55830864
353	48.52006849
354	48.39770461
355	48.30593828
356	48.25253257
357	48.0886347
358	47.97419672
359	47.88509419
360	47.84672469
361	47.78803852
362	47.70732424
363	47.65211067
364	47.58744073
365	47.45797014
366	47.3559241
367	47.20246201
368	47.14831455
369	46.97471438
370	46.8599155
371	46.81187301
372	46.74365444
373	46.6279019
374	46.54564316
375	46.45585483
376	46.39131508
377	46.35270424
378	46.23154637
379	46.13667423
380	46.01595121
381	45.85484597
382	45.70405209
383	45.66322615
384	45.61540442
385	45.55807186
386	45.41639621
387	45.32408055
388	45.22327307
389	45.11184395
390	44.95739627
391	44.89925389
392	44.78243442
393	44.61755079
394	44.55765477
395	44.52079124
396	44.40790613
397	44.30216404
398	44.25793928
399	44.21222256
400	44.13784677
401	44.09900423
402	44.01587605
403	43.93012066
404	43.88708869
405	43.80070384
406	43.70346586
407	43.58979394
408	43.50540643
409	43.45550356
410	43.36617391
411	43.31780295
412	43.1887269
413	43.07341273
414	42.97652733
415	42.91169353
416	42.82627339
417	42.80017384
418	42.71092638
419	42.65727866
420	42.54421372
421	42.47329935
422	42.43381829
423	42.3909427
424	42.27244739
425	42.22413755
426	42.11620199
427	41.98503028
428	41.90563062
429	41.82265497
430	41.76134539
431	41.69868217
432	41.52467483
433	41.46788942
434	41.42092986
435	41.27890963
436	41.15556001
437	41.10166551
438	41.03080428
439	40.97169019
440	40.89246713
441	40.81569436
442	40.74496255
443	40.70475229
444	40.64158946
445	40.58548902
446	40.48359739
447	40.42763014
448	40.37742711
449	40.26250084
450	40.21466086
451	40.10589756
452	40.01757544
453	39.98503795
454	39.94798348
455	39.8781863
456	39.81648113
457	39.77251034
458	39.68918342
459	39.60786935
460	39.53496321
461	39.45991269
462	39.3584348
463	39.28476344
464	39.21366078
465	39.13243233
466	39.06473219
467	39.02077385
468	38.90850414
469	38.82040233
470	38.7603956
471	38.73335144
472	38.70248688
473	38.65136886
474	38.58151207
475	38.54162962
476	38.45382265
477	38.35493639
478	38.26559503
479	38.18605705
480	38.12652428
481	38.09698511
482	38.05267689
483	37.99442357
484	37.96267628
485	37.92585403
486	37.88816899
487	37.82772039
488	37.76469376
489	37.69976508
490	37.65172042
491	37.62147819
492	37.5872862
493	37.50325717
494	37.44997884
495	37.37268094
496	37.29921739
497	37.23123297
498	37.20301031
499	37.14639359
