model,horizon,mae,rmse,mape,r2
CatBoost,15,467.24169454766627,608.7611735566818,22.16244739799656,-0.30347196214720196
XGBoost,15,554.9139390102653,669.9239496863228,26.305955568199785,-0.5785517017810582
LightGBM,15,640.1428233044606,759.474679839529,29.553084481904275,-1.028777415585592
CatBoost,30,536.1402173367502,663.8583272065898,25.576629873181606,-0.4054913001632603
XGBoost,30,573.4268060728562,689.12176625745,27.870231531498714,-0.5145000160482522
LightGBM,30,585.7024310520385,694.1570703419363,28.147549561399178,-0.5367133007384406
XGBoost,90,419.69786320176235,561.3774481128459,21.555045794162506,0.06378221556404151
LightGBM,90,441.66775059609716,596.689332949517,21.296635395835235,-0.057702451089262974
CatBoost,90,688.357805542906,890.5829637733513,30.131519613430747,-1.3562194085334256
