model,horizon,mae,rmse,mape
Prophet,15,392.598913210748,501.25565440871253,21.690221198125375
SARIMAX,15,1460.7834677223518,1541.6512345188287,88.97143058267093
LinearRegression,15,3699.034647096779,3906.0193812934544,212.91509898237777
Prophet,30,381.61905047106853,499.11286689465163,22.63282434016896
SARIMAX,30,1574.2613204270947,1657.4513880862476,97.3027964270225
LinearRegression,30,3830.564694961839,4086.169923211179,228.78542927189028
Prophet,90,414.59246584014824,519.3501974671003,24.806980274419573
SARIMAX,90,1694.9782031588077,1759.8131121318602,98.93393213452089
LinearRegression,90,3281.0723494759836,3651.057992187303,194.54949821744492
