model,horizon,mae,rmse,mape
xgboost,15,620.3458862304688,757.0643136484508,30.540517807006836
lightgbm,15,655.5062406616771,791.9234435064191,34.31322759150521
catboost,15,397.07384801255034,540.5578628156736,20.402757094315284
xgboost,30,487.8913879394531,625.0661714970664,26.599884033203125
lightgbm,30,503.1635791188325,638.1282989816673,26.804383242896918
catboost,30,502.2364312438509,631.7485633367645,26.027135962450913
xgboost,90,472.5198669433594,596.3736245006146,25.83591079711914
lightgbm,90,516.5281049742247,644.043721069104,27.757487947723686
catboost,90,465.32595277003014,604.7793399965908,24.985175772246894
